,Domain_Name,Organization_Name
0,112.gov.in,Emergency Response Support System with a single emergency number 112
1,7cpc.india.gov.in,"Seventh Central Pay Commission, New Delhi"
2,aaad.gov.in,"Aid Accounts and Audit Division, New Delhi"
3,aaccc.gov.in,"AYUSH Admissions Central Counseling Committee (AACCC), Ministry of AYUSH"
4,aai.aero,Airports Authority of India (AAI)
5,aaib.gov.in,"Aircraft Accident Investigation Bureau (AAIB), India"
6,aajeevika.gov.in,National Rural Livelihoods Mission (NRLM) - Aajeevika
7,abnhpm.gov.in,"Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY), National Health Protection Mission (NHPM)"
8,acabcmis.gov.in,Agri-Clinics and Agri-Business Centres Scheme by Ministry of Agriculture & Farmers Welfare
9,accessibleindia.gov.in,Accessible India Campaign (Sugamya Bharat Abhiyan)
10,accmumbai.gov.in,"Commissioner of Customs, Air Cargo, Mumbai"
11,accountingonline.gov.in,PRIASoft - Panchayati Raj Institutions Accounting Software
12,aces.gov.in,"Automation Of Central Excise and Service Tax, ACES"
13,acesdownload.nic.in,"Automation of Central Excise and Service Tax, Central Board of Excise and Customs (CBEC)"
14,actrec.gov.in,"Advanced Centre for Treatment, Research and Education in Cancer (ACTREC), Tata Memorial Centre"
15,acy.bsf.gov.in,"Border Security Force Academy, Madhya Pradesh"
16,ada.gov.in,"Aeronautical Development Agency, Ministry of Defence"
17,adgenez.gov.in,"Prasar Bharati - Additional Director General (E) (North East Zone), Guwahati"
18,aecs1jaduguda.nic.in,"Atomic Energy Central School - I, Jaduguda, Jharkhand"
19,aecs4rbt.nic.in,"Atomic Energy Central School No.4, Rawatbhata, Rajasthan"
20,aecsanupuram.tn.nic.in,"Atomic Energy Central School, Anupuram. Tamil Nadu"
21,aecsmum2.ac.in,"Atomic Energy Central School No 2, Anushaktinagar, Mumbai"
22,aecsmum3.ac.in,"Atomic Energy Central school No.3, Mumbai"
23,aecsmum4.ac.in,"Atomic Energy Central School - 4, Mumbai"
24,aecsmum6.ac.in,"Atomic Energy Central school 6, Mumbai"
25,aecsnarwapahar.nic.in,"Atomic Energy Central School, Narwapahar, Jharkhand"
26,aecsrbt2.nic.in,"Atomic Energy Central School No.2, Rawatbhata, Chittorgarh, Rajasthan"
27,aecstar1.ac.in,"Atomic Energy Central School No.1 and Junior College, Tarapur, Thane, Maharashtra"
28,aecstar2.ac.in,"Atomic Energy Central School No - 2, Tarapur, Maharashtra"
29,aecsturamdih.nic.in,"Atomic Energy Central School, Turamdih, Jharkhand"
30,aees.gov.in,Atomic Energy Education Society (AEES)
31,aejcmumbai.ac.in,"Atomic Energy Junior College (AEJC), Mumbai"
32,aeoindia.gov.in,"Authorised Economic Operator (AEO) Programme, Indian Customs"
33,aera.gov.in,Airports Economic Regulatory Authority (AERA)
34,aerb.gov.in,Atomic Energy Regulatory Board (AERB)
35,aeroindia.gov.in,"Aero India Show 2019, 20-24 Feb 2019, Bengaluru"
36,afk.gov.in,"Ammunition Factory, Khadki (AFK)"
37,afmc.nic.in,Armed Forces Medical College (AFMC)
38,aftkolkata.nic.in,"Armed Forces Tribunal, Kolkata Bench, Kolkata"
39,aftrbghy.nic.in,"Armed Forces Tribunal, Regional Bench, Guwahati"
40,ag36g.cag.gov.in,"Accountant General, Chhattisgarh"
41,agaeapts.gov.in,"Office of The Principal Accountant General (A & E), Andhra Pradesh & Telangana"
42,agap.cag.gov.in,"Accountant General, Andhra Pradesh and Telangana"
43,agasm.cag.gov.in,"Official Web site of Accountants General, Assam"
44,agaudelhi.cag.gov.in,"Principal Accountant General, Delhi"
45,agbihar.cag.gov.in,"Accountant General, Bihar"
46,agcensus.nic.in,"Agricultural Census, New Delhi"
47,aggoa.cag.gov.in,"Accountant General, Goa"
48,agguj.cag.gov.in,"Accountant General, Gujarat"
49,aghp.cag.gov.in,"Accountant General, Himachal Pradesh"
50,aghr.cag.gov.in,"Accountant General, Haryana"
51,agjh.cag.gov.in,"Accountant General, Jharkhand"
52,agjk.cag.gov.in,"Accountant General, Jammu and Kashmir"
53,agkar.cag.gov.in,"Accountant General, Karnataka"
54,agker.cag.gov.in,"Accountant General, Kerala"
