Domain_Name,Organization_Name
cgstmeerutzone.gov.in,"Customs, Central Goods and Services Tax (CGST), Meerut Zone"
cgstsurat.gov.in,"Central Goods and Services Tax (CGST) and Excise Commissionerate, Surat"
cgstujjain.gov.in,"CGST and Central Excise, Ujjain Commissionerate"
cgtmse.in,"Credit Guarantee Fund Trust for Micro and Small Enterprise (CGTMSE), Mumbai, Mahrashtra"
cgwb.gov.in,Central Ground Water Board (CGWB)
cgwbchd.nic.in,Central Ground Water Board North Westerm Region Chandigarh
cgwbswr.kar.nic.in,"Central Ground Water Board, South Western Region, Bangalore"
chandigarhcensus.gov.in,"Directorate of Census Operations, Chandigarh"
chbl.co.in,"CREDA - HPCL Bio fuel Limited, Raipur, Chhattisgarh"
cheb.nic.in,Central Health Education Bureau (CHEB)
chemexcil.gov.in,"CHEMEXCIL - Basic Chemicals, Pharmaceuticals and Cosmetics Export Promotion Council"
chemicals.gov.in,Department of Chemicals and Petrochemicals
chennai.bsnl.co.in,Chennai Telephones
chennai.stpi.in,"Software Technology Parks of India (STPI), Chennai, Tamilnadu"
chennaicustoms.gov.in,Chennai Customs
chennaimetrorail.org,Chennai Metro Rail Limited
chennaiport.gov.in,Chennai Port Trust
chennaipost.gov.in,Chennai Post
chhattisgarh.bsnl.co.in,Chhattisgarh Telecom Circle
chsmohfw.nic.in,"Central Health Service, Ministry of Health and Family Welfare"
cht.gov.in,"Centre for High Technology (CHT), Noida, Uttar Pradesh"
ciae.nic.in,Central Institute of Agricultural Engineering (CIAE)
ciah.ernet.in,Central Institute for Arid Horticulture (CIAH)
ciari.icar.gov.in,"ICAR - Central Island Agricultural Research Institute (CIARI), Port Blair"
ciba.res.in,Central Institute of Brackishwater Aquaculture (CIBA)
cibrc.gov.in,Central Insecticides Board and Registration Committee
cic.gov.in,Central Information Commission (CIC)
cicef.gov.in,"Central Institute of Coastal Engineering for Fishery, Bangalore"
cicr.org.in,"Central Institute for Cotton Research (CICR), Nagpur, Maharashtra"
cics.tn.nic.in,"Centre for International Co-operation in Science (CICS), Chennai"
cict.in,Central Institute of Classical Tamil (CICT)
ciet.nic.in,Central Institute of Educational Technology (CIET)
cifa.in,Central Institute of Freshwater Aquaculture (CIFA)
cife.edu.in,"Central Institute of Fisheries Education (CIFE), Mumbai"
cifnet.gov.in,Central Institute of Fisheries Nautical and Engineering Training
cifri.ernet.in,"Central Inland Fisheries Research Institute, Kolkata, West Bengal"
cift.res.in,"Central Institute of Fisheries Technology (CIFT), Cochin, Kerala"
